日期 - date,滚动市盈率 - pe_ttm,滚动扣非市盈率 - koufei_pe_ttm,滚动市净率 - pb_ttm,动态市销率 - ps_ttm,动态股息收益率 % - dividend_yield,ROE %,总市值 - total market cap,A股总市值 - A gu zong shi zhi,收盘价(前复权) - close price,开盘价-open,最高价-high,最低价-low,涨跌幅-up,换手率-turnover_rate
2026-01-14,-1.0,-1.0,10.54,2.57,0.0,-1.0,1046.58,1046.58,47.92,48.1,48.5,47.33,-0.66%,2.81%
2026-01-13,-1.0,-1.0,10.61,2.58,0.0,-1.0,1053.57,1053.57,48.24,49.9,50.11,48.11,-3.17%,3.02%
2026-01-12,-1.0,-1.0,10.96,2.67,0.0,-1.0,1088.07,1088.07,49.82,50.06,50.86,49.5,-1.41%,2.61%
2026-01-09,-1.0,-1.0,11.11,2.71,0.0,-1.0,1103.58,1103.58,50.53,49.78,50.89,49.42,1.16%,2.32%
2026-01-08,-1.0,-1.0,10.99,2.67,0.0,-1.0,1090.91,1090.91,49.95,51.13,51.25,49.68,-2.86%,2.63%
2026-01-07,-1.0,-1.0,11.31,2.75,0.0,-1.0,1123.02,1123.02,51.42,49.5,52.7,49.5,2.33%,3.44%
2026-01-06,-1.0,-1.0,11.05,2.69,0.0,-1.0,1097.46,1097.46,50.25,50.3,50.8,49.61,-0.26%,2.38%
2026-01-05,-1.0,-1.0,11.08,2.7,0.0,-1.0,1100.3,1100.3,50.38,49.5,51.18,49.39,1.78%,2.56%
2025-12-31,-1.0,-1.0,10.89,2.65,0.0,-1.0,1081.08,1081.08,49.5,49.99,50.35,49.19,-0.22%,1.24%
2025-12-30,-1.0,-1.0,10.91,2.66,0.0,-1.0,1083.49,1083.49,49.61,49.34,49.99,48.88,0.34%,1.53%
2025-12-29,-1.0,-1.0,10.87,2.65,0.0,-1.0,1079.77,1079.77,49.44,48.9,50.35,48.73,1.06%,2.2%
2025-12-26,-1.0,-1.0,10.76,2.62,0.0,-1.0,1068.42,1068.42,48.92,49.32,50.2,48.73,-0.81%,1.45%
2025-12-25,-1.0,-1.0,10.85,2.64,0.0,-1.0,1077.15,1077.15,49.32,48.6,49.42,48.51,0.96%,1.67%
2025-12-24,-1.0,-1.0,10.74,2.62,0.0,-1.0,1066.89,1066.89,48.85,47.64,48.98,47.01,2.43%,2.57%
2025-12-23,-1.0,-1.0,10.49,2.55,0.0,-1.0,1041.55,1041.55,47.69,48.0,48.07,47.25,-0.79%,1.58%
2025-12-22,-1.0,-1.0,10.57,2.57,0.0,-1.0,1049.85,1049.85,48.07,47.5,48.65,47.5,0.17%,1.2%
2025-12-19,-1.0,-1.0,10.56,2.57,0.0,-1.0,1048.11,1048.11,47.99,47.93,48.24,47.55,-0.02%,1.13%
2025-12-18,-1.0,-1.0,10.56,2.57,0.0,-1.0,1048.32,1048.32,48.0,47.48,49.05,47.12,0.76%,1.47%
2025-12-17,-1.0,-1.0,10.48,2.55,0.0,-1.0,1040.46,1040.46,47.64,47.3,48.2,47.0,0.61%,1.21%
2025-12-16,-1.0,-1.0,10.41,2.54,0.0,-1.0,1034.13,1034.13,47.35,48.96,49.1,47.3,-2.15%,1.86%
2025-12-15,-1.0,-1.0,10.64,2.59,0.0,-1.0,1056.84,1056.84,48.39,49.06,49.68,48.33,-2.32%,1.42%
