日期 - date,滚动市盈率 - pe_ttm,滚动扣非市盈率 - koufei_pe_ttm,滚动市净率 - pb_ttm,动态市销率 - ps_ttm,动态股息收益率 % - dividend_yield,ROE %,总市值 - total market cap,A股总市值 - A gu zong shi zhi,收盘价(前复权) - close price,开盘价-open,最高价-high,最低价-low,涨跌幅-up,换手率-turnover_rate
2026-01-14,29.36,32.23,7.63,1.42,1.05,34.97,2120.0,1987.81,121.7,122.21,123.28,121.01,-0.81%,1.54%
2026-01-13,29.6,32.49,7.69,1.43,1.04,34.97,2137.42,2004.14,122.7,124.99,125.42,122.31,-1.07%,1.48%
2026-01-12,29.92,32.85,7.77,1.45,1.03,34.97,2160.58,2025.86,124.03,124.03,124.45,123.17,-0.55%,1.56%
2026-01-09,30.09,33.03,7.81,1.46,1.03,34.97,2172.6,2037.13,124.72,125.28,125.94,124.01,-0.46%,1.39%
2026-01-08,30.23,33.18,7.85,1.46,1.02,34.97,2182.71,2046.61,125.3,126.29,126.73,124.81,-2.38%,1.81%
2026-01-07,30.97,33.99,8.04,1.5,1.0,34.97,2235.84,2096.43,128.35,125.33,130.99,122.8,2.42%,3.5%
2026-01-06,30.23,33.19,7.85,1.46,1.02,34.97,2183.06,2046.93,125.32,121.35,125.66,121.35,3.31%,2.49%
2026-01-05,29.27,32.13,7.6,1.42,1.06,34.97,2113.2,1981.44,121.31,120.15,121.8,119.66,0.29%,1.1%
2025-12-31,29.18,32.03,7.58,1.41,1.06,34.97,2107.11,1975.72,120.96,122.88,125.3,120.89,-0.31%,1.42%
2025-12-30,29.27,32.13,7.6,1.42,1.05,34.97,2113.72,1981.93,121.34,120.6,121.85,119.58,0.81%,0.97%
2025-12-29,29.04,31.87,7.54,1.41,1.06,34.97,2096.65,1965.92,120.36,120.66,122.32,119.86,-0.26%,0.97%
2025-12-26,29.11,31.96,7.56,1.41,1.06,34.97,2102.05,1970.98,120.67,119.0,122.95,118.87,1.31%,1.47%
2025-12-25,28.74,31.54,7.46,1.39,1.07,34.97,2074.88,1945.5,119.11,119.7,119.7,118.8,-0.49%,0.72%
2025-12-24,28.88,31.7,7.5,1.4,1.07,34.97,2085.16,1955.14,119.7,119.43,120.38,118.71,0.05%,0.85%
2025-12-23,28.86,31.68,7.5,1.4,1.07,34.97,2084.11,1954.16,119.64,120.65,121.0,119.3,-1.47%,0.96%
2025-12-22,29.29,32.16,7.61,1.42,1.05,34.97,2115.12,1983.23,121.42,121.5,123.38,121.36,0.68%,0.94%
2025-12-19,29.1,31.94,7.56,1.41,1.06,34.97,2100.83,1969.84,120.6,118.88,121.3,118.83,0.92%,0.85%
2025-12-18,28.83,31.65,7.49,1.4,1.07,34.97,2081.67,1951.87,119.5,120.2,120.7,119.5,-1.69%,0.83%
2025-12-17,29.33,32.19,7.62,1.42,1.05,34.97,2117.38,1985.36,121.55,122.01,122.01,119.95,-1.43%,1.31%
2025-12-16,29.75,32.66,7.73,1.44,1.04,34.97,2148.04,2014.1,123.31,122.0,125.0,119.85,3.19%,2.08%
2025-12-15,28.83,31.65,7.49,1.4,1.07,34.97,2081.67,1951.87,119.5,120.86,121.85,119.5,-2.35%,0.94%
2025-12-12,29.52,32.41,7.67,1.43,1.3,34.97,2131.67,1998.75,122.37,121.89,122.8,118.51,0.06%,1.34%
2025-12-11,29.51,32.39,7.66,1.43,1.3,34.97,2130.45,1997.61,122.3,124.38,124.8,122.0,-1.72%,1.1%
2025-12-10,30.02,32.95,7.8,1.45,1.27,34.97,2167.73,2032.56,124.44,123.5,124.56,122.56,0.35%,0.89%
2025-12-09,29.92,32.84,7.77,1.45,1.28,34.97,2160.06,2025.37,124.0,125.1,125.88,123.87,-1.26%,1.05%
2025-12-08,30.3,33.26,7.87,1.47,1.26,34.97,2187.58,2051.18,125.58,126.06,126.38,124.82,-0.42%,0.91%
2025-12-05,30.43,33.4,7.9,1.47,1.26,34.97,2196.82,2059.84,126.11,126.1,126.69,124.83,0.1%,0.81%
2025-12-04,30.4,33.37,7.89,1.47,1.26,34.97,2194.73,2057.88,125.99,126.24,126.66,124.6,-0.69%,0.77%
2025-12-03,30.61,33.6,7.95,1.48,1.25,34.97,2210.06,2072.25,126.87,128.46,128.88,126.7,-1.57%,0.82%
2025-12-02,31.1,34.14,8.08,1.51,1.23,34.97,2245.42,2105.41,128.9,131.16,131.2,128.25,-1.77%,1.15%
2025-12-01,31.66,34.75,8.22,1.53,1.21,34.97,2285.83,2143.3,131.22,126.21,131.22,126.2,3.99%,1.81%
2025-11-28,30.44,33.42,7.91,1.47,1.26,34.97,2198.21,2061.14,126.19,127.2,127.32,125.02,0.49%,1.04%
2025-11-27,30.29,33.25,7.87,1.47,1.26,34.97,2187.41,2051.02,125.57,125.1,126.83,124.65,0.38%,0.98%
2025-11-26,30.18,33.13,7.84,1.46,1.27,34.97,2179.22,2043.34,125.1,124.99,125.4,123.84,0.2%,0.83%
2025-11-25,30.12,33.06,7.82,1.46,1.27,34.97,2174.87,2039.26,124.85,125.18,127.16,124.75,0.28%,1.45%
2025-11-24,30.04,32.97,7.8,1.45,1.27,34.97,2168.77,2033.54,124.5,123.42,125.5,122.37,0.89%,1.61%
2025-11-21,29.77,32.68,7.73,1.44,1.29,34.97,2149.61,2015.57,123.4,124.46,126.7,123.4,-2.58%,1.65%
2025-11-20,30.56,33.55,7.94,1.48,1.25,34.97,2206.57,2068.98,126.67,129.65,130.69,126.6,-2.51%,1.6%
2025-11-19,31.35,34.41,8.14,1.52,1.22,34.97,2263.36,2122.23,129.93,130.68,131.87,129.63,-1.1%,1.1%
2025-11-18,31.69,34.79,8.23,1.54,1.21,34.97,2288.45,2145.75,131.37,133.01,133.35,131.23,-1.68%,1.11%
2025-11-17,32.24,35.39,8.37,1.56,1.19,34.97,2327.64,2182.5,133.62,134.0,134.31,132.88,-1.17%,1.02%
2025-11-14,32.62,35.8,8.47,1.58,1.17,34.97,2355.16,2208.31,135.2,134.94,136.57,134.8,-0.84%,0.94%
2025-11-13,32.9,36.11,8.54,1.59,1.16,34.97,2375.2,2227.09,136.35,135.7,136.76,133.05,0.49%,1.35%
2025-11-12,32.74,35.93,8.5,1.59,1.17,34.97,2363.7,2216.31,135.69,133.01,137.0,131.8,1.38%,1.88%
2025-11-11,32.29,35.44,8.39,1.56,1.18,34.97,2331.47,2186.1,133.84,139.0,139.3,133.48,-3.47%,2.33%
2025-11-10,33.45,36.72,8.69,1.62,1.14,34.97,2415.26,2264.66,138.65,138.23,139.69,137.19,0.06%,1.56%
2025-11-07,31.35,34.41,8.14,1.52,1.14,34.97,2263.36,2263.36,138.57,140.9,141.73,137.26,-2.5%,2.36%
2025-11-06,32.15,35.29,8.35,1.56,1.12,34.97,2321.5,2321.5,142.13,145.0,145.0,139.9,-2.67%,2.64%
2025-11-05,33.03,36.26,8.58,1.6,1.09,34.97,2385.2,2385.2,146.03,150.0,150.0,145.5,-5.56%,2.4%
2025-11-04,34.98,38.4,9.08,1.69,1.03,34.97,2525.67,2525.67,154.63,152.8,155.41,152.06,1.19%,1.26%
