日期 - date,滚动市盈率 - pe_ttm,滚动扣非市盈率 - koufei_pe_ttm,滚动市净率 - pb_ttm,动态市销率 - ps_ttm,动态股息收益率 % - dividend_yield,ROE %,总市值 - total market cap,A股总市值 - A gu zong shi zhi,收盘价(前复权) - close price,开盘价-open,最高价-high,最低价-low,涨跌幅-up,换手率-turnover_rate
2026-01-14,19.56,18.91,2.17,1.29,1.63,11.19,1299.88,1299.88,11.06,11.4,11.4,10.93,-2.38%,1.42%
2026-01-13,20.04,19.37,2.22,1.32,1.59,11.19,1331.61,1331.61,11.33,11.67,11.79,11.31,-3.0%,1.25%
2026-01-12,20.66,19.97,2.29,1.36,1.54,11.19,1372.75,1372.75,11.68,11.82,11.87,11.64,-1.02%,0.9%
2026-01-09,20.87,20.17,2.32,1.37,1.53,11.19,1386.85,1386.85,11.8,11.79,11.98,11.56,3.69%,1.02%
2026-01-08,20.13,19.45,2.23,1.32,1.58,11.19,1337.49,1337.49,11.38,11.68,11.71,11.32,-2.98%,0.84%
2026-01-07,20.75,20.05,2.3,1.36,1.53,11.19,1378.62,1378.62,11.73,11.75,11.75,11.55,-0.26%,0.67%
2026-01-06,20.8,20.1,2.31,1.37,1.53,11.19,1382.15,1382.15,11.76,11.52,11.93,11.35,1.91%,0.83%
2026-01-05,20.41,19.73,2.27,1.34,1.56,11.19,1356.29,1356.29,11.54,11.57,11.65,11.28,-0.35%,0.89%
2025-12-31,20.48,19.8,2.27,1.35,1.55,11.19,1360.99,1360.99,11.58,11.33,11.64,11.22,2.21%,0.79%
2025-12-30,20.04,19.37,2.22,1.32,1.59,11.19,1331.61,1331.61,11.33,11.17,11.59,11.15,0.62%,0.86%
2025-12-29,19.92,19.25,2.21,1.31,1.6,11.19,1323.38,1323.38,11.26,11.23,11.44,11.18,0.18%,0.62%
2025-12-26,19.88,19.21,2.21,1.31,1.6,11.19,1321.03,1321.03,11.24,10.7,11.29,10.7,5.14%,0.96%
2025-12-25,18.91,18.27,2.1,1.24,1.68,11.19,1256.39,1256.39,10.69,10.8,10.86,10.65,-1.38%,0.49%
2025-12-24,19.17,18.53,2.13,1.26,1.66,11.19,1274.02,1274.02,10.84,10.76,10.87,10.55,-0.09%,0.74%
2025-12-23,19.19,18.55,2.13,1.26,1.66,11.19,1275.2,1275.2,10.85,10.92,10.92,10.67,-0.64%,0.9%
2025-12-22,19.32,18.67,2.14,1.27,1.65,11.19,1283.42,1283.42,10.92,11.24,11.26,10.89,-2.67%,0.84%
2025-12-19,19.85,19.18,2.2,1.3,1.6,11.19,1318.68,1318.68,11.22,11.03,11.31,11.01,2.0%,0.66%
