日期 - date,滚动市盈率 - pe_ttm,滚动扣非市盈率 - koufei_pe_ttm,滚动市净率 - pb_ttm,动态市销率 - ps_ttm,动态股息收益率 % - dividend_yield,ROE %,总市值 - total market cap,A股总市值 - A gu zong shi zhi,收盘价(前复权) - close price,开盘价-open,最高价-high,最低价-low,涨跌幅-up,换手率-turnover_rate
2026-01-14,17.14,39.83,1.51,0.71,2.94,9.08,1164.91,972.02,11.75,11.79,11.85,11.71,-0.59%,1.25%
2026-01-13,17.24,40.07,1.52,0.72,2.92,9.08,1171.84,977.81,11.82,11.94,11.97,11.8,-1.09%,1.16%
2026-01-12,17.43,40.51,1.54,0.72,2.89,9.08,1184.73,988.56,11.95,11.86,11.95,11.83,0.84%,1.26%
2026-01-09,17.29,40.17,1.52,0.72,2.91,9.08,1174.82,980.29,11.85,11.83,11.91,11.81,-0.08%,0.85%
2026-01-08,17.3,40.2,1.52,0.72,2.91,9.08,1175.81,981.12,11.86,11.83,11.88,11.78,0.08%,0.66%
2026-01-07,17.29,40.17,1.52,0.72,2.91,9.08,1174.82,980.29,11.85,11.96,11.97,11.83,-1.0%,0.9%
2026-01-06,17.46,40.57,1.54,0.72,2.88,9.08,1186.72,990.21,11.97,11.8,12.0,11.79,1.18%,1.13%
2026-01-05,17.26,40.1,1.52,0.72,2.92,9.08,1172.84,978.63,11.83,11.86,11.86,11.77,-0.25%,0.81%
2025-12-31,17.3,40.2,1.52,0.72,2.91,9.08,1175.81,981.12,11.86,11.95,12.02,11.86,-0.34%,0.69%
2025-12-30,17.36,40.34,1.53,0.72,2.9,9.08,1179.78,984.42,11.9,11.86,12.05,11.84,0.0%,0.78%
2025-12-29,17.36,40.34,1.53,0.72,2.9,9.08,1179.78,984.42,11.9,12.0,12.02,11.89,-0.75%,0.71%
2025-12-26,17.49,40.64,1.54,0.73,2.88,9.08,1188.7,991.87,11.99,11.88,12.07,11.85,0.76%,0.99%
2025-12-25,17.36,40.34,1.53,0.72,2.9,9.08,1179.78,984.42,11.9,11.93,11.97,11.86,-0.25%,0.61%
2025-12-24,17.4,40.44,1.53,0.72,2.89,9.08,1182.75,986.91,11.93,11.92,11.95,11.84,0.51%,0.77%
2025-12-23,17.31,40.23,1.53,0.72,2.91,9.08,1176.8,981.94,11.87,11.97,11.97,11.85,-1.49%,1.19%
2025-12-22,17.58,40.84,1.55,0.73,2.86,9.08,1194.65,996.83,12.05,12.12,12.28,12.01,2.55%,2.52%
2025-12-19,17.14,39.83,1.51,0.71,2.94,9.08,1164.91,972.02,11.75,11.63,11.84,11.62,0.69%,0.73%
2025-12-18,17.02,39.56,1.5,0.71,2.96,9.08,1156.97,965.4,11.67,11.7,11.75,11.63,-1.02%,0.76%
2025-12-17,17.2,39.96,1.52,0.71,2.93,9.08,1168.87,975.32,11.79,11.98,11.98,11.7,-2.24%,1.61%
2025-12-16,17.59,40.88,1.55,0.73,2.86,9.08,1195.64,997.66,12.06,12.04,12.24,11.85,4.42%,2.95%
2025-12-15,16.85,39.15,1.48,0.7,2.99,9.08,1145.08,955.47,11.55,11.55,11.63,11.54,-0.77%,0.37%
2025-12-12,16.98,39.46,1.5,0.7,2.96,9.08,1154.0,962.92,11.64,11.55,11.67,11.51,0.34%,0.64%
2025-12-11,16.92,39.32,1.49,0.7,2.97,9.08,1150.03,959.61,11.6,11.71,11.72,11.59,-1.02%,0.49%
2025-12-10,17.1,39.73,1.51,0.71,2.94,9.08,1161.93,969.53,11.72,11.69,11.72,11.62,0.09%,0.46%
2025-12-09,17.08,39.69,1.51,0.71,2.95,9.08,1160.94,968.71,11.71,11.8,11.8,11.7,-0.85%,0.46%
2025-12-08,17.23,40.03,1.52,0.72,2.92,9.08,1170.85,976.98,11.81,11.8,11.83,11.77,0.17%,0.37%
2025-12-05,17.2,39.96,1.52,0.71,2.93,9.08,1168.87,975.32,11.79,11.73,11.79,11.66,0.6%,0.37%
2025-12-04,17.1,39.73,1.51,0.71,2.94,9.08,1161.93,969.53,11.72,11.73,11.77,11.66,-0.34%,0.34%
2025-12-03,17.15,39.86,1.51,0.71,2.93,9.08,1165.9,972.84,11.76,11.88,11.89,11.74,-1.01%,0.45%
2025-12-02,17.33,40.27,1.53,0.72,2.9,9.08,1177.79,982.77,11.88,11.9,11.92,11.84,-0.42%,0.38%
2025-12-01,17.4,40.44,1.53,0.72,2.89,9.08,1182.75,986.91,11.93,11.95,11.99,11.89,-0.08%,0.44%
2025-11-28,17.42,40.47,1.53,0.72,2.89,9.08,1183.74,987.73,11.94,11.75,11.98,11.68,2.4%,0.76%
2025-11-27,17.08,39.69,1.51,0.71,2.52,9.08,1160.94,968.71,11.71,11.8,11.84,11.71,-0.76%,0.64%
2025-11-26,17.21,40.0,1.52,0.71,2.5,9.08,1169.86,976.15,11.8,11.83,11.91,11.79,-0.92%,0.56%
2025-11-25,17.37,40.37,1.53,0.72,2.48,9.08,1180.77,985.25,11.91,11.91,11.97,11.85,0.17%,0.49%
2025-11-24,17.34,40.3,1.53,0.72,2.48,9.08,1178.78,983.6,11.89,11.82,11.92,11.81,0.85%,0.53%
2025-11-21,17.2,39.96,1.52,0.71,2.5,9.08,1168.87,975.32,11.79,12.01,12.03,11.77,-2.08%,1.06%
2025-11-20,17.56,40.81,1.55,0.73,2.45,9.08,1193.66,996.01,12.04,12.07,12.1,12.03,-0.33%,0.45%
2025-11-19,17.62,40.95,1.55,0.73,2.44,9.08,1197.62,999.31,12.08,12.12,12.16,12.05,-0.33%,0.48%
2025-11-18,17.68,41.08,1.56,0.73,2.43,9.08,1201.59,1002.62,12.12,12.18,12.19,12.09,-0.66%,0.62%
2025-11-17,17.8,41.35,1.57,0.74,2.42,9.08,1209.52,1009.24,12.2,12.2,12.23,12.17,-0.25%,0.59%
2025-11-14,17.84,41.45,1.57,0.74,2.41,9.08,1212.49,1011.72,12.23,12.23,12.3,12.22,-0.41%,0.57%
2025-11-13,17.91,41.62,1.58,0.74,2.4,9.08,1217.45,1015.86,12.28,12.25,12.29,12.22,0.41%,0.51%
2025-11-12,17.84,41.45,1.57,0.74,2.41,9.08,1212.49,1011.72,12.23,12.26,12.28,12.21,-0.41%,0.55%
