日期 - date,滚动市盈率 - pe_ttm,滚动扣非市盈率 - koufei_pe_ttm,滚动市净率 - pb_ttm,动态市销率 - ps_ttm,动态股息收益率 % - dividend_yield,ROE %,总市值 - total market cap,A股总市值 - A gu zong shi zhi,收盘价(前复权) - close price,开盘价-open,最高价-high,最低价-low,涨跌幅-up,换手率-turnover_rate
2026-01-14,287.4,-1.0,3.17,9.04,0.23,1.1,253.12,253.12,25.7,25.83,26.8,25.39,-2.06%,9.37%
2026-01-13,293.44,-1.0,3.23,9.23,0.23,1.1,258.44,258.44,26.24,28.3,28.4,26.24,-9.98%,10.01%
2026-01-12,300.0,-1.0,3.59,10.26,0.21,1.1,287.1,287.1,29.15,28.49,29.48,27.9,6.35%,13.67%
2026-01-09,300.0,-1.0,3.38,9.64,0.22,1.1,269.97,269.97,27.41,26.2,28.28,25.93,6.61%,14.11%
2026-01-08,287.51,-1.0,3.17,9.05,0.23,1.1,253.22,253.22,25.71,24.56,25.86,24.44,4.09%,7.0%
2026-01-07,276.22,-1.0,3.04,8.69,0.24,1.1,243.27,243.27,24.7,24.86,25.01,24.44,-1.2%,4.08%
2026-01-06,279.57,-1.0,3.08,8.8,0.24,1.1,246.23,246.23,25.0,24.25,25.08,24.12,2.75%,5.96%
2026-01-05,272.08,-1.0,3.0,8.56,0.25,1.1,239.63,239.63,24.33,24.36,24.53,23.76,1.46%,5.34%
2025-12-31,268.17,-1.0,2.96,8.44,0.25,1.1,236.18,236.18,23.98,23.61,24.08,23.51,0.67%,4.59%
2025-12-30,266.38,-1.0,2.94,8.38,0.25,1.1,234.61,234.61,23.82,24.0,24.47,23.61,0.34%,6.22%
2025-12-29,265.48,-1.0,2.93,8.35,0.25,1.1,233.82,233.82,23.74,23.7,23.9,23.53,0.0%,3.13%
2025-12-26,265.48,-1.0,2.93,8.35,0.25,1.1,233.82,233.82,23.74,24.0,24.13,23.48,-1.08%,4.0%
2025-12-25,268.39,-1.0,2.96,8.44,0.25,1.1,236.38,236.38,24.0,22.86,24.2,22.81,4.58%,6.11%
2025-12-24,256.65,-1.0,2.83,8.07,0.26,1.1,226.04,226.04,22.95,22.38,23.08,22.3,2.14%,3.14%
2025-12-23,251.28,-1.0,2.77,7.91,0.27,1.1,221.31,221.31,22.47,23.16,23.16,22.39,-2.98%,3.54%
2025-12-22,259.0,-1.0,2.85,8.15,0.26,1.1,228.11,228.11,23.16,23.75,23.79,23.13,-2.44%,3.97%
2025-12-19,265.48,-1.0,2.93,8.35,0.25,1.1,233.82,233.82,23.74,23.32,24.05,23.32,1.28%,3.66%
2025-12-18,262.13,-1.0,2.89,8.25,0.26,1.1,230.86,230.86,23.44,23.4,24.07,23.3,-0.42%,4.18%
2025-12-17,263.25,-1.0,2.9,8.28,0.26,1.1,231.85,231.85,23.54,24.15,24.16,23.11,-4.43%,5.83%
2025-12-16,275.44,-1.0,3.04,8.67,0.25,1.1,242.58,242.58,24.63,24.18,25.1,23.35,3.1%,8.72%
2025-12-15,267.16,-1.0,2.94,8.41,0.25,1.1,235.3,235.3,23.89,23.4,24.26,23.23,4.96%,7.62%
2025-12-12,254.52,-1.0,2.81,8.01,0.27,1.1,224.17,224.17,22.76,22.61,23.13,22.5,0.18%,2.77%
2025-12-11,254.08,-1.0,2.8,7.99,0.27,1.1,223.77,223.77,22.72,22.96,23.26,22.7,-1.22%,2.48%
2025-12-10,257.21,-1.0,2.84,8.09,0.26,1.1,226.53,226.53,23.0,22.9,23.27,22.71,-0.65%,2.63%
2025-12-09,258.89,-1.0,2.85,8.14,0.26,1.1,228.01,228.01,23.15,22.61,23.48,22.35,3.03%,5.78%
2025-12-08,251.28,-1.0,2.77,7.91,0.27,1.1,221.31,221.31,22.47,22.29,22.78,22.29,0.9%,3.16%
2025-12-05,249.04,-1.0,2.75,7.84,0.27,1.1,219.34,219.34,22.27,21.91,22.3,21.68,1.64%,2.06%
2025-12-04,245.02,-1.0,2.7,7.71,0.28,1.1,215.8,215.8,21.91,21.84,22.21,21.79,-0.45%,1.43%
2025-12-03,246.14,-1.0,2.71,7.74,0.27,1.1,216.78,216.78,22.01,22.35,22.35,21.88,-1.87%,1.73%
2025-12-02,250.83,-1.0,2.76,7.89,0.27,1.1,220.92,220.92,22.43,22.25,22.75,21.94,0.67%,2.34%
2025-12-01,249.16,-1.0,2.75,7.84,0.27,1.1,219.44,219.44,22.28,22.05,22.76,21.99,0.81%,2.07%
2025-11-28,247.14,-1.0,2.72,7.78,0.27,1.1,217.67,217.67,22.1,21.92,22.16,21.74,0.82%,1.93%
2025-11-27,245.13,-1.0,2.7,7.71,0.28,1.1,215.89,215.89,21.92,22.16,22.16,21.88,-0.99%,1.79%
2025-11-26,247.59,-1.0,2.73,7.79,0.27,1.1,218.06,218.06,22.14,22.39,22.53,21.9,-1.95%,2.74%
2025-11-25,252.51,-1.0,2.78,7.94,0.27,1.1,222.39,222.39,22.58,22.88,22.88,22.4,-1.87%,3.75%
2025-11-24,257.32,-1.0,2.84,8.1,0.26,1.1,226.63,226.63,23.01,21.81,23.1,21.66,7.22%,6.24%
2025-11-21,239.99,-1.0,2.65,7.55,0.28,1.1,211.36,211.36,21.46,21.55,22.08,21.07,-1.2%,1.99%
2025-11-20,242.89,-1.0,2.68,7.64,0.28,1.1,213.92,213.92,21.72,21.82,22.01,21.69,-1.63%,1.43%
2025-11-19,246.92,-1.0,2.72,7.77,0.27,1.1,217.47,217.47,22.08,21.53,22.23,21.51,2.32%,2.39%
2025-11-18,241.33,-1.0,2.66,7.59,0.28,1.1,212.54,212.54,21.58,22.0,22.03,21.45,-2.26%,1.72%
2025-11-17,246.92,-1.0,2.72,7.77,0.27,1.1,217.47,217.47,22.08,22.2,22.57,22.03,2.08%,3.22%
2025-11-14,241.89,-1.0,2.67,7.61,0.28,1.1,213.04,213.04,21.63,21.63,21.97,21.51,-0.14%,1.17%
2025-11-13,242.22,-1.0,2.67,7.62,0.28,1.1,213.33,213.33,21.66,21.39,21.8,21.31,1.21%,1.14%
2025-11-12,239.32,-1.0,2.64,7.53,0.28,1.1,210.77,210.77,21.4,21.88,21.88,21.24,-2.28%,1.57%
2025-11-11,244.91,-1.0,2.7,7.7,0.28,1.1,215.7,215.7,21.9,21.81,22.18,21.69,0.41%,1.42%
2025-11-10,243.9,-1.0,2.69,7.67,0.28,1.1,214.81,214.81,21.81,21.58,21.99,21.57,1.21%,1.28%
2025-11-07,240.99,-1.0,2.66,7.58,0.28,1.1,212.25,212.25,21.55,21.69,21.71,21.51,-0.69%,0.82%
2025-11-06,242.67,-1.0,2.67,7.63,0.28,1.1,213.73,213.73,21.7,21.6,21.93,21.57,0.23%,0.92%
2025-11-05,242.11,-1.0,2.67,7.62,0.28,1.1,213.23,213.23,21.65,21.51,21.78,21.48,-0.28%,0.83%
2025-11-04,242.78,-1.0,2.68,7.64,0.28,1.1,213.83,213.83,21.71,22.06,22.07,21.62,-1.99%,1.05%
2025-11-03,247.7,-1.0,2.73,7.79,0.27,1.1,218.16,218.16,22.15,21.89,22.21,21.65,1.1%,1.48%
2025-10-31,245.02,-1.0,2.7,7.71,0.28,1.1,215.8,215.8,21.91,21.87,21.95,21.66,0.14%,1.29%
2025-10-30,244.68,-1.0,2.7,7.7,0.28,1.1,215.5,215.5,21.88,22.24,22.24,21.76,-2.02%,2.14%
2025-10-29,249.72,-1.0,2.75,7.86,0.27,1.1,219.93,219.93,22.33,22.39,22.45,22.14,-0.18%,1.49%
2025-10-28,250.16,-1.0,2.76,7.87,0.27,1.1,220.33,220.33,22.37,22.0,22.59,21.8,1.45%,2.43%
2025-10-27,246.58,-1.0,2.72,7.76,0.27,1.1,217.17,217.17,22.05,22.05,22.15,21.8,0.82%,1.72%
2025-10-24,300.0,-1.0,2.7,9.13,0.28,0.27,215.4,215.4,21.87,21.76,22.33,21.75,1.91%,2.04%
2025-10-23,300.0,-1.0,2.65,8.96,0.28,0.27,211.36,211.36,21.46,21.21,21.5,20.96,0.28%,1.24%
2025-10-22,300.0,-1.0,2.64,8.94,0.28,0.27,210.77,210.77,21.4,21.65,21.67,21.35,-1.74%,1.14%
2025-10-21,300.0,-1.0,2.69,9.09,0.28,0.27,214.51,214.51,21.78,21.62,21.85,21.42,0.88%,1.17%
2025-10-20,300.0,-1.0,2.66,9.01,0.28,0.27,212.64,212.64,21.59,21.98,22.14,21.47,-1.64%,1.82%
2025-10-17,300.0,-1.0,2.71,9.17,0.28,0.27,216.19,216.19,21.95,22.35,22.54,21.81,-1.75%,1.65%
2025-10-16,300.0,-1.0,2.76,9.33,0.27,0.27,220.03,220.03,22.34,22.82,22.99,22.28,-1.37%,2.01%
2025-10-15,300.0,-1.0,2.79,9.46,0.27,0.27,223.08,223.08,22.65,22.51,22.66,22.17,0.22%,1.73%
2025-10-14,300.0,-1.0,2.79,9.44,0.27,0.27,222.59,222.59,22.6,23.15,23.37,22.44,-0.22%,2.72%
2025-10-13,300.0,-1.0,2.79,9.46,0.27,0.27,223.08,223.08,22.65,21.98,22.73,21.81,0.58%,1.76%
2025-10-10,300.0,-1.0,2.78,9.4,0.27,0.27,221.8,221.8,22.52,22.94,22.97,22.43,-1.49%,1.61%
2025-10-09,300.0,-1.0,2.82,9.55,0.26,0.27,225.15,225.15,22.86,23.06,23.06,22.3,-1.08%,3.6%
2025-09-30,300.0,-1.0,2.85,9.65,0.26,0.27,227.61,227.61,23.11,21.6,23.18,21.6,6.99%,5.74%
2025-09-29,300.0,-1.0,2.66,9.02,0.28,0.27,212.74,212.74,21.6,21.52,21.75,21.11,0.42%,1.93%
2025-09-26,300.0,-1.0,2.65,8.98,0.28,0.27,211.86,211.86,21.51,21.33,21.83,21.28,0.75%,2.35%
2025-09-25,300.0,-1.0,2.63,8.91,0.28,0.27,210.28,210.28,21.35,21.56,21.56,21.24,-1.11%,1.84%
2025-09-24,300.0,-1.0,2.66,9.01,0.28,0.27,212.64,212.64,21.59,21.23,21.64,21.13,0.61%,2.05%
2025-09-23,300.0,-1.0,2.65,8.96,0.28,0.27,211.36,211.36,21.46,21.79,21.88,21.0,-1.51%,2.2%
2025-09-22,300.0,-1.0,2.69,9.1,0.28,0.27,214.61,214.61,21.79,21.51,21.8,21.36,1.49%,2.07%
2025-09-19,300.0,-1.0,2.65,8.96,0.28,0.27,211.46,211.46,21.47,21.07,21.85,21.07,1.9%,3.09%
2025-09-18,300.0,-1.0,2.62,8.85,0.28,0.27,208.79,208.79,21.07,21.36,21.75,20.91,-1.36%,2.81%
2025-09-17,300.0,-1.0,2.65,8.97,0.28,0.27,211.66,211.66,21.36,21.4,21.59,21.24,-0.19%,1.62%
2025-09-16,300.0,-1.0,2.66,8.99,0.28,0.27,212.06,212.06,21.4,21.53,21.55,21.2,-0.37%,1.73%
2025-09-15,300.0,-1.0,2.67,9.02,0.28,0.27,212.85,212.85,21.48,21.81,21.93,21.4,-1.51%,1.98%
2025-09-12,300.0,-1.0,2.71,9.16,0.28,0.27,216.12,216.12,21.81,21.59,22.2,21.56,0.88%,2.6%
2025-09-11,300.0,-1.0,2.68,9.08,0.28,0.27,214.24,214.24,21.62,21.21,21.66,21.05,1.65%,2.31%
2025-09-10,300.0,-1.0,2.64,8.94,0.28,0.27,210.77,210.77,21.27,21.16,21.54,21.13,1.04%,1.78%
2025-09-09,300.0,-1.0,2.61,8.84,0.29,0.27,208.59,208.59,21.05,21.54,21.64,21.03,-2.73%,2.32%
2025-09-08,300.0,-1.0,2.69,9.09,0.28,0.27,214.44,214.44,21.64,21.35,21.79,21.01,1.5%,3.22%
2025-09-05,300.0,-1.0,2.65,8.96,0.28,0.27,211.27,211.27,21.32,21.34,21.57,21.0,-0.09%,3.04%
2025-09-04,300.0,-1.0,2.65,8.96,0.28,0.27,211.46,211.46,21.34,22.3,22.52,20.7,-6.61%,6.22%
2025-09-03,300.0,-1.0,2.84,9.6,0.26,0.27,226.43,226.43,22.85,25.4,25.5,22.85,-10.0%,6.38%
2025-09-02,300.0,-1.0,3.15,10.67,0.24,0.27,251.6,251.6,25.39,25.74,25.75,24.73,-1.36%,3.42%
2025-09-01,300.0,-1.0,3.2,10.81,0.23,0.27,255.07,255.07,25.74,26.13,26.13,25.41,-1.46%,3.92%
2025-08-29,300.0,-1.0,3.24,10.97,0.23,0.27,258.83,258.83,26.12,25.05,26.26,24.89,3.94%,5.43%
2025-08-28,300.0,-1.0,3.12,10.56,0.24,0.27,249.02,249.02,25.13,24.82,25.17,23.89,1.25%,4.79%
2025-08-27,300.0,-1.0,3.08,10.43,0.24,0.27,245.95,245.95,24.82,25.8,25.89,24.8,-4.46%,5.01%
2025-08-26,300.0,-1.0,3.22,10.91,0.23,0.27,257.44,257.44,25.98,26.33,26.35,25.88,-1.96%,3.58%
2025-08-25,300.0,-1.0,3.29,11.13,0.23,0.27,262.6,262.6,26.5,26.26,26.66,26.07,0.95%,5.91%
2025-08-22,300.0,-1.0,3.26,11.03,0.23,0.27,260.12,260.12,26.25,25.55,26.27,25.07,1.98%,5.72%
2025-08-21,300.0,-1.0,3.18,10.55,0.23,0.68,255.07,255.07,25.74,26.08,26.13,25.65,-1.27%,3.14%
2025-08-20,300.0,-1.0,3.23,10.68,0.23,0.68,258.34,258.34,26.07,25.81,26.4,25.48,1.01%,4.62%
2025-08-19,300.0,-1.0,3.19,10.58,0.23,0.68,255.76,255.76,25.81,26.36,26.36,25.7,-2.05%,4.51%
2025-08-18,300.0,-1.0,3.26,10.8,0.23,0.68,261.11,261.11,26.35,25.96,26.36,25.95,1.74%,4.69%
2025-08-15,300.0,-1.0,3.2,10.61,0.23,0.68,256.65,256.65,25.9,25.5,25.93,25.39,1.33%,3.53%
2025-08-14,300.0,-1.0,3.16,10.47,0.23,0.68,253.28,253.28,25.56,26.2,26.21,25.52,-2.74%,4.63%
2025-08-13,300.0,-1.0,3.25,10.77,0.23,0.68,260.42,260.42,26.28,26.01,26.6,25.95,0.42%,4.52%
2025-08-12,300.0,-1.0,3.24,10.72,0.23,0.68,259.33,259.33,26.17,27.03,27.03,26.03,-3.18%,5.01%
2025-08-11,300.0,-1.0,3.34,11.08,0.22,0.68,267.85,267.85,27.03,26.87,27.46,26.61,1.05%,4.99%
2025-08-08,300.0,-1.0,3.31,10.96,0.22,0.68,265.07,265.07,26.75,26.99,27.37,26.6,-1.94%,4.65%
