日期 - date,滚动市盈率 - pe_ttm,滚动扣非市盈率 - koufei_pe_ttm,滚动市净率 - pb_ttm,动态市销率 - ps_ttm,动态股息收益率 % - dividend_yield,ROE %,总市值 - total market cap,A股总市值 - A gu zong shi zhi,收盘价(前复权) - close price,开盘价-open,最高价-high,最低价-low,涨跌幅-up,换手率-turnover_rate
2026-01-14,-1.0,-1.0,9.45,1.71,0.0,-1.0,372.7,372.7,11.09,10.98,11.33,10.98,0.64%,4.09%
2026-01-13,-1.0,-1.0,9.39,1.7,0.0,-1.0,370.35,370.35,11.02,11.44,11.45,10.96,-3.67%,4.11%
2026-01-12,-1.0,-1.0,9.75,1.77,0.0,-1.0,384.46,384.46,11.44,11.05,11.46,11.04,3.72%,4.68%
2026-01-09,-1.0,-1.0,9.4,1.7,0.0,-1.0,370.68,370.68,11.03,10.94,11.05,10.91,0.64%,2.56%
2026-01-08,-1.0,-1.0,9.34,1.69,0.0,-1.0,368.33,368.33,10.96,10.85,11.01,10.81,0.74%,2.03%
2026-01-07,-1.0,-1.0,9.27,1.68,0.0,-1.0,365.64,365.64,10.88,11.08,11.11,10.85,-1.72%,2.51%
2026-01-06,-1.0,-1.0,9.43,1.71,0.0,-1.0,372.03,372.03,11.07,10.84,11.12,10.8,2.5%,3.34%
2026-01-05,-1.0,-1.0,9.2,1.67,0.0,-1.0,362.95,362.95,10.8,10.63,10.8,10.63,1.69%,2.07%
2025-12-31,-1.0,-1.0,9.05,1.64,0.0,-1.0,356.9,356.9,10.62,10.66,10.78,10.5,0.09%,1.82%
2025-12-30,-1.0,-1.0,9.04,1.64,0.0,-1.0,356.57,356.57,10.61,10.6,10.7,10.54,0.0%,1.22%
2025-12-29,-1.0,-1.0,9.04,1.64,0.0,-1.0,356.57,356.57,10.61,10.65,10.71,10.57,-0.38%,1.34%
2025-12-26,-1.0,-1.0,9.08,1.64,0.0,-1.0,357.91,357.91,10.65,10.7,10.79,10.61,-0.37%,1.58%
2025-12-25,-1.0,-1.0,9.11,1.65,0.0,-1.0,359.26,359.26,10.69,10.61,10.72,10.58,0.75%,1.32%
2025-12-24,-1.0,-1.0,9.04,1.64,0.0,-1.0,356.57,356.57,10.61,10.45,10.64,10.39,1.53%,1.38%
2025-12-23,-1.0,-1.0,8.91,1.61,0.0,-1.0,351.19,351.19,10.45,10.63,10.66,10.43,-2.06%,1.53%
2025-12-22,-1.0,-1.0,9.09,1.65,0.0,-1.0,358.58,358.58,10.67,10.59,10.73,10.56,0.76%,1.51%
2025-12-19,-1.0,-1.0,9.03,1.63,0.0,-1.0,355.9,355.9,10.59,10.38,10.63,10.38,1.73%,1.8%
2025-12-18,-1.0,-1.0,8.87,1.61,0.0,-1.0,349.85,349.85,10.41,10.4,10.56,10.37,-0.57%,1.38%
2025-12-17,-1.0,-1.0,8.92,1.62,0.0,-1.0,351.86,351.86,10.47,10.45,10.55,10.27,-0.76%,2.16%
2025-12-16,-1.0,-1.0,8.99,1.63,0.0,-1.0,354.48,354.48,10.55,10.4,10.73,10.22,1.64%,3.12%
2025-12-15,-1.0,-1.0,8.84,1.6,0.0,-1.0,348.77,348.77,10.38,10.43,10.58,10.36,-1.42%,1.72%
2025-12-12,-1.0,-1.0,8.97,1.62,0.0,-1.0,353.81,353.81,10.53,10.61,10.66,10.52,-0.94%,1.79%
2025-12-11,-1.0,-1.0,9.06,1.64,0.0,-1.0,357.17,357.17,10.63,10.95,10.99,10.62,-2.74%,2.24%
2025-12-10,-1.0,-1.0,9.31,1.69,0.0,-1.0,367.25,367.25,10.93,11.02,11.02,10.8,-0.82%,1.91%
2025-12-09,-1.0,-1.0,9.39,1.7,0.0,-1.0,370.27,370.27,11.02,11.1,11.2,11.0,-1.34%,1.55%
2025-12-08,-1.0,-1.0,9.52,1.72,0.0,-1.0,375.31,375.31,11.17,11.21,11.28,11.16,-0.09%,1.67%
2025-12-05,-1.0,-1.0,9.53,1.72,0.0,-1.0,375.65,375.65,11.18,11.14,11.19,10.97,0.36%,1.37%
2025-12-04,-1.0,-1.0,9.49,1.72,0.0,-1.0,374.3,374.3,11.14,11.09,11.17,10.9,0.18%,1.84%
2025-12-03,-1.0,-1.0,9.47,1.72,0.0,-1.0,373.63,373.63,11.12,11.34,11.37,11.09,-2.46%,2.09%
2025-12-02,-1.0,-1.0,9.71,1.76,0.0,-1.0,383.04,383.04,11.4,11.58,11.58,11.35,-1.47%,1.68%
2025-12-01,-1.0,-1.0,9.86,1.78,0.0,-1.0,388.75,388.75,11.57,11.27,11.57,11.22,2.57%,2.79%
2025-11-28,-1.0,-1.0,9.61,1.74,0.0,-1.0,379.01,379.01,11.28,11.25,11.29,11.2,0.18%,1.35%
2025-11-27,-1.0,-1.0,9.59,1.74,0.0,-1.0,378.33,378.33,11.26,11.3,11.47,11.25,-1.57%,2.02%
2025-11-26,-1.0,-1.0,9.75,1.76,0.0,-1.0,384.38,384.38,11.44,11.37,11.64,11.28,0.53%,2.82%
2025-11-25,-1.0,-1.0,9.7,1.76,0.0,-1.0,382.37,382.37,11.38,11.43,11.62,11.37,-0.35%,2.05%
2025-11-24,-1.0,-1.0,9.73,1.76,0.0,-1.0,383.71,383.71,11.42,11.3,11.43,11.16,1.78%,1.88%
2025-11-21,-1.0,-1.0,9.56,1.73,0.0,-1.0,376.99,376.99,11.22,11.55,11.65,11.2,-3.77%,2.73%
2025-11-20,-1.0,-1.0,9.93,1.8,0.0,-1.0,391.77,391.77,11.66,11.75,11.81,11.58,0.09%,1.73%
2025-11-19,-1.0,-1.0,9.93,1.8,0.0,-1.0,391.44,391.44,11.65,11.87,11.99,11.6,-1.77%,2.2%
2025-11-18,-1.0,-1.0,10.11,1.83,0.0,-1.0,398.49,398.49,11.86,12.07,12.07,11.83,-2.06%,2.78%
2025-11-17,-1.0,-1.0,10.32,1.87,0.0,-1.0,406.89,406.89,12.11,12.15,12.3,12.04,-0.98%,2.49%
2025-11-14,-1.0,-1.0,10.42,1.89,0.0,-1.0,410.93,410.93,12.23,12.11,12.47,12.09,0.49%,2.85%
2025-11-13,-1.0,-1.0,10.37,1.88,0.0,-1.0,408.91,408.91,12.17,12.04,12.32,11.98,1.0%,2.12%
2025-11-12,-1.0,-1.0,10.27,1.86,0.0,-1.0,404.88,404.88,12.05,12.09,12.14,11.9,-0.74%,2.17%
2025-11-11,-1.0,-1.0,10.34,1.87,0.0,-1.0,407.9,407.9,12.14,12.38,12.47,12.11,-2.41%,2.65%
2025-11-10,-1.0,-1.0,10.6,1.92,0.0,-1.0,417.98,417.98,12.44,12.24,12.48,12.18,1.3%,2.66%
2025-11-07,-1.0,-1.0,10.46,1.89,0.0,-1.0,412.61,412.61,12.28,12.4,12.63,12.27,-1.92%,2.6%
2025-11-06,-1.0,-1.0,10.67,1.93,0.0,-1.0,420.67,420.67,12.52,12.58,12.64,12.48,-1.26%,3.23%
2025-11-05,-1.0,-1.0,10.8,1.96,0.0,-1.0,426.05,426.05,12.68,12.28,12.95,12.23,1.93%,5.59%
2025-11-04,-1.0,-1.0,10.6,1.92,0.0,-1.0,417.98,417.98,12.44,12.33,12.54,12.22,0.32%,3.68%
2025-11-03,-1.0,-1.0,10.57,1.91,0.0,-1.0,416.64,416.64,12.4,12.34,12.4,12.16,0.57%,3.11%
2025-10-31,-1.0,-1.0,10.5,1.9,0.0,-1.0,413.96,413.96,12.33,11.91,12.45,11.83,3.44%,5.12%
2025-10-30,-1.0,-1.0,10.15,1.84,0.0,-1.0,400.19,400.19,11.92,12.05,12.22,11.9,0.0%,3.26%
2025-10-29,-1.0,-1.0,10.48,1.93,0.0,-1.0,400.19,400.19,11.92,11.81,11.92,11.77,0.68%,2.1%
2025-10-28,-1.0,-1.0,10.41,1.92,0.0,-1.0,397.51,397.51,11.84,11.91,11.92,11.8,-0.59%,1.81%
2025-10-27,-1.0,-1.0,10.47,1.93,0.0,-1.0,399.86,399.86,11.91,12.0,12.06,11.86,0.17%,2.55%
2025-10-24,-1.0,-1.0,10.46,1.92,0.0,-1.0,399.19,399.19,11.89,11.82,11.93,11.81,0.76%,2.12%
2025-10-23,-1.0,-1.0,10.38,1.91,0.0,-1.0,396.17,396.17,11.8,11.77,11.81,11.55,0.25%,1.83%
2025-10-22,-1.0,-1.0,10.35,1.91,0.0,-1.0,395.16,395.16,11.77,11.83,11.88,11.73,-1.09%,1.64%
2025-10-21,-1.0,-1.0,10.46,1.93,0.0,-1.0,399.52,399.52,11.9,11.77,11.94,11.72,1.1%,2.2%
2025-10-20,-1.0,-1.0,10.35,1.91,0.0,-1.0,395.16,395.16,11.77,11.73,11.88,11.68,1.29%,2.09%
