日期 - date,滚动市盈率 - pe_ttm,滚动扣非市盈率 - koufei_pe_ttm,滚动市净率 - pb_ttm,动态市销率 - ps_ttm,动态股息收益率 % - dividend_yield,ROE %,总市值 - total market cap,A股总市值 - A gu zong shi zhi,收盘价(前复权) - close price,开盘价-open,最高价-high,最低价-low,涨跌幅-up,换手率-turnover_rate
2026-01-14,22.85,25.56,3.57,1.04,1.38,19.13,8761.63,5221.88,96.1,96.81,97.74,95.51,-1.12%,1.48%
2026-01-13,23.11,25.85,3.61,1.05,1.36,19.13,8861.0,5281.11,97.19,99.0,99.6,96.88,-0.29%,1.43%
2026-01-12,23.17,25.92,3.62,1.06,1.36,19.13,8886.53,5296.32,97.47,97.01,98.0,96.3,0.47%,1.22%
2026-01-09,23.06,25.8,3.6,1.05,1.37,19.13,8844.59,5271.33,97.01,97.05,97.95,96.9,0.13%,1.0%
2026-01-08,23.03,25.77,3.6,1.05,1.37,19.13,8832.74,5264.26,96.88,97.2,97.2,96.33,-0.74%,0.86%
2026-01-07,23.2,25.96,3.62,1.06,1.36,19.13,8898.38,5303.39,97.6,99.96,99.96,97.06,-2.39%,1.61%
2026-01-06,23.77,26.59,3.71,1.08,1.32,19.13,9116.29,5433.25,99.99,98.22,100.5,98.12,1.92%,1.5%
2026-01-05,23.32,26.09,3.64,1.06,1.35,19.13,8944.88,5331.1,98.11,98.4,99.48,97.9,0.4%,1.1%
2025-12-31,23.23,25.99,3.63,1.06,1.36,19.13,8909.33,5309.91,97.72,99.98,100.2,97.38,-2.04%,1.16%
2025-12-30,23.71,26.53,3.7,1.08,1.33,19.13,9094.4,5420.21,99.75,99.26,100.15,98.74,-0.46%,0.91%
2025-12-29,23.82,26.65,3.72,1.09,1.32,19.13,9136.34,5445.21,100.21,100.5,101.3,99.6,0.2%,1.49%
2025-12-26,23.78,26.6,3.71,1.08,1.32,19.13,9118.11,5434.34,100.01,95.28,101.45,95.25,5.45%,2.93%
2025-12-25,22.55,25.22,3.52,1.03,1.4,19.13,8646.75,5153.41,94.84,94.43,95.23,94.12,0.44%,0.52%
2025-12-24,22.45,25.11,3.51,1.02,1.4,19.13,8608.46,5130.59,94.42,94.8,94.8,94.05,-0.41%,0.55%
