日期 - date,滚动市盈率 - pe_ttm,滚动扣非市盈率 - koufei_pe_ttm,滚动市净率 - pb_ttm,动态市销率 - ps_ttm,动态股息收益率 % - dividend_yield,ROE %,总市值 - total market cap,A股总市值 - A gu zong shi zhi,收盘价(前复权) - close price,开盘价-open,最高价-high,最低价-low,涨跌幅-up,换手率-turnover_rate
2026-01-14,25.33,28.63,5.14,4.18,1.92,23.14,16154.95,15603.04,353.98,360.03,361.22,351.71,-1.4%,0.89%
2026-01-13,25.69,29.03,5.21,4.24,1.89,23.14,16384.05,15824.32,359.0,366.25,367.77,357.0,-0.74%,0.7%
2026-01-12,25.88,29.25,5.25,4.28,1.88,23.14,16506.36,15942.45,361.68,368.0,368.0,351.66,-2.04%,1.15%
2026-01-09,26.42,29.86,5.36,4.37,1.84,23.14,16850.93,16275.25,369.23,369.17,377.63,367.01,0.01%,0.74%
2026-01-08,26.42,29.86,5.36,4.36,1.84,23.14,16850.02,16274.36,369.21,368.0,373.33,367.0,-0.49%,0.63%
2026-01-07,26.55,30.0,5.39,4.39,1.83,23.14,16931.46,16353.0,371.01,372.95,375.48,368.49,-0.8%,0.62%
2026-01-06,26.76,30.24,5.43,4.42,1.81,23.14,17067.45,16484.35,373.99,380.0,380.5,369.04,-0.93%,0.8%
2026-01-05,27.01,30.53,5.48,4.46,1.8,23.14,17227.64,16639.06,377.5,370.0,378.0,368.19,2.79%,0.79%
2025-12-31,26.28,29.7,5.33,4.34,1.85,23.14,16760.32,16187.71,367.26,369.79,372.0,367.15,-0.53%,0.38%
2025-12-30,26.42,29.85,5.36,4.36,1.84,23.14,16848.86,16273.22,369.2,367.1,371.0,366.56,-0.03%,0.45%
2025-12-29,26.43,29.86,5.36,4.37,1.84,23.14,16853.88,16278.07,369.31,374.0,374.43,368.0,-1.37%,0.57%
2025-12-26,26.79,30.28,5.44,4.43,1.81,23.14,17087.53,16503.74,374.43,372.96,378.0,370.1,0.38%,0.6%
2025-12-25,26.69,30.16,5.42,4.41,1.82,23.14,17022.72,16441.14,373.01,374.21,374.21,369.12,-0.69%,0.48%
2025-12-24,26.88,30.37,5.45,4.44,1.81,23.14,17140.91,16555.3,375.6,378.08,378.08,372.0,-0.66%,0.5%
2025-12-23,27.05,30.57,5.49,4.47,1.79,23.14,17255.0,16665.49,378.1,372.0,380.5,371.6,1.68%,0.55%
2025-12-22,26.61,30.07,5.4,4.4,1.82,23.14,16969.32,16389.57,371.84,376.0,377.99,368.1,-0.58%,0.6%
2025-12-19,26.76,30.24,5.43,4.42,1.81,23.14,17067.9,16484.77,374.0,374.08,377.68,370.8,0.54%,0.41%
2025-12-18,26.62,30.08,5.4,4.4,1.82,23.14,16976.62,16396.62,372.0,379.57,380.95,370.01,-2.98%,0.7%
2025-12-17,27.44,31.0,5.57,4.53,1.77,23.14,17497.79,16899.98,383.42,376.45,384.5,375.06,1.32%,0.52%
2025-12-16,27.08,30.6,5.5,4.47,1.79,23.14,17269.15,16679.15,378.41,386.0,389.08,378.03,-1.84%,0.45%
2025-12-15,27.58,31.17,5.6,4.56,1.76,23.14,17592.71,16991.66,385.5,391.5,394.97,385.21,-1.61%,0.43%
2025-12-12,28.04,31.68,5.69,4.63,1.73,23.14,17880.22,17269.34,391.8,392.0,393.39,385.5,0.72%,0.56%
2025-12-11,27.83,31.46,5.65,4.6,1.74,23.14,17751.98,17145.49,388.99,384.9,398.86,383.38,1.73%,0.66%
2025-12-10,27.36,30.92,5.55,4.52,1.77,23.14,17450.33,16854.14,382.38,385.05,388.0,377.26,-1.34%,0.46%
2025-12-09,27.73,31.34,5.63,4.58,1.75,23.14,17688.09,17083.78,387.59,391.5,392.26,386.0,-1.25%,0.44%
2025-12-08,28.09,31.74,5.7,4.64,1.73,23.14,17912.16,17300.2,392.5,390.43,395.38,385.5,0.88%,0.51%
2025-12-05,27.84,31.46,5.65,4.6,1.74,23.14,17756.54,17149.89,389.09,387.2,389.31,382.0,1.5%,0.55%
2025-12-04,27.43,31.0,5.57,4.53,1.77,23.14,17494.46,16896.76,383.35,379.19,383.6,375.15,1.93%,0.45%
2025-12-03,26.91,30.41,5.46,4.45,1.8,23.14,17162.69,16576.32,376.08,380.09,383.37,375.0,-1.05%,0.33%
2025-12-02,27.2,30.73,5.52,4.49,1.78,23.14,17345.23,16752.63,380.08,383.5,384.98,377.4,-0.75%,0.38%
2025-12-01,27.4,30.97,5.56,4.53,1.77,23.14,17477.12,16880.01,382.97,374.76,382.97,374.03,2.62%,0.63%
2025-11-28,26.7,30.18,5.42,4.41,1.82,23.14,17031.26,16449.38,373.2,370.5,375.48,366.16,0.54%,0.48%
2025-11-27,26.56,30.02,5.39,4.39,1.83,23.14,16939.99,16361.23,371.2,373.0,378.88,370.0,-0.43%,0.52%
2025-11-26,26.68,30.15,5.41,4.41,1.82,23.14,17013.92,16432.63,372.82,375.5,375.5,370.07,0.12%,0.44%
2025-11-25,26.64,30.11,5.41,4.4,1.82,23.14,16992.92,16412.36,372.36,375.0,379.66,370.59,0.49%,0.48%
2025-11-24,26.51,29.96,5.38,4.38,1.83,23.14,16910.32,16332.58,370.55,373.8,374.9,367.18,0.15%,0.54%
2025-11-21,26.48,29.92,5.37,4.37,1.83,23.14,16885.22,16308.34,370.0,375.0,383.0,370.0,-2.48%,0.74%
2025-11-20,27.15,30.68,5.51,4.48,1.79,23.14,17313.74,16722.22,379.39,394.9,395.0,377.01,-2.99%,0.79%
2025-11-19,27.98,31.62,5.68,4.62,1.73,23.14,17846.96,17237.18,391.1,385.5,398.44,384.96,1.58%,0.69%
2025-11-18,27.55,31.13,5.59,4.55,1.76,23.14,17567.87,16967.59,385.0,389.0,398.63,381.0,-1.48%,0.93%
2025-11-17,27.96,31.6,5.67,4.62,1.74,23.14,17831.61,17222.33,390.78,388.0,392.4,382.5,-3.3%,1.12%
2025-11-14,28.91,32.67,5.87,4.78,1.68,23.14,18440.33,17810.24,404.12,407.0,414.6,403.88,-2.76%,0.57%
2025-11-13,29.73,33.6,6.03,4.91,1.63,23.14,18964.17,18316.19,415.6,385.05,421.3,385.05,7.56%,1.32%
2025-11-12,27.64,31.24,5.61,4.57,1.76,23.14,17630.84,17028.41,386.38,390.78,392.99,383.98,0.2%,0.5%
2025-11-11,27.59,31.18,5.6,4.56,1.76,23.14,17595.25,16994.04,385.6,386.0,394.77,384.5,0.28%,0.45%
2025-11-10,27.51,31.09,5.58,4.55,1.76,23.14,17545.51,16946.0,384.51,398.4,400.31,383.32,-2.75%,0.56%
2025-11-07,28.29,31.97,5.74,4.67,1.72,23.14,18040.16,17423.71,395.37,393.5,397.51,388.88,0.17%,0.39%
2025-11-06,28.24,31.91,5.73,4.66,1.72,23.14,18008.67,17393.31,394.68,390.0,399.49,388.7,1.54%,0.55%
2025-11-05,27.81,31.43,5.64,4.59,1.75,23.14,17735.81,17129.77,388.7,372.85,393.0,372.0,2.57%,0.73%
2025-11-04,27.11,30.64,5.5,4.48,1.79,23.14,17290.94,16700.09,378.95,383.06,386.5,374.0,-2.04%,0.56%
