日期 - date,滚动市盈率 - pe_ttm,滚动扣非市盈率 - koufei_pe_ttm,滚动市净率 - pb_ttm,动态市销率 - ps_ttm,动态股息收益率 % - dividend_yield,ROE %,总市值 - total market cap,A股总市值 - A gu zong shi zhi,收盘价(前复权) - close price,开盘价-open,最高价-high,最低价-low,涨跌幅-up
2023-05-10,-1.0,-1.0,1.99,0.73,0.22,-1.0,274.09,274.09,12.55,12.0,12.67,11.86,5.2%
2023-05-09,-1.0,-1.0,1.89,0.69,0.23,-1.0,260.55,260.55,11.93,11.98,12.19,11.86,-0.67%
2023-05-08,-1.0,-1.0,1.9,0.7,0.23,-1.0,262.3,262.3,12.01,11.96,12.21,11.88,1.52%
2023-05-05,-1.0,-1.0,1.88,0.69,0.24,-1.0,258.37,258.37,11.83,11.95,11.98,11.68,-1.33%
2023-05-04,-1.0,-1.0,1.9,0.7,0.23,-1.0,261.86,261.86,11.99,11.86,12.19,11.73,2.3%
2023-04-28,-1.0,-1.0,1.77,0.69,0.24,-1.0,255.97,255.97,11.72,11.57,11.75,11.47,2.27%
2023-04-27,-1.0,-1.0,1.73,0.68,0.24,-1.0,250.29,250.29,11.46,11.59,11.72,11.41,-1.55%
2023-04-26,-1.0,-1.0,1.76,0.69,0.24,-1.0,254.22,254.22,11.64,11.3,11.8,11.23,2.37%
2023-04-25,-1.0,-1.0,1.72,0.67,0.25,-1.0,248.32,248.32,11.37,11.66,11.72,11.15,-3.23%
2023-04-24,-1.0,-1.0,1.78,0.69,0.24,-1.0,256.62,256.62,11.75,11.53,12.0,11.31,0.77%
2023-04-21,-1.0,-1.0,1.76,0.69,0.24,-1.0,254.66,254.66,11.66,12.14,12.35,11.65,-4.66%
2023-04-20,-1.0,-1.0,1.85,0.72,0.23,-1.0,267.1,267.1,12.23,12.32,12.32,12.1,-1.21%
2023-04-19,-1.0,-1.0,1.87,0.73,0.23,-1.0,270.38,270.38,12.38,12.57,12.58,12.34,-1.67%
2023-04-18,-1.0,-1.0,1.9,0.74,0.22,-1.0,274.97,274.97,12.59,12.76,12.92,12.55,-2.18%
2023-04-17,-1.0,-1.0,1.95,0.76,0.22,-1.0,280.86,280.86,12.86,12.66,13.07,12.51,4.05%
2023-04-14,-1.0,-1.0,1.87,0.73,0.23,-1.0,269.94,269.94,12.36,12.2,12.64,12.19,1.81%
2023-04-13,-1.0,-1.0,1.84,0.72,0.23,-1.0,265.14,265.14,12.14,12.31,12.51,12.01,-2.25%
