日期 - date,滚动市盈率 - pe_ttm,滚动扣非市盈率 - koufei_pe_ttm,滚动市净率 - pb_ttm,动态市销率 - ps_ttm,动态股息收益率 % - dividend_yield,ROE %,总市值 - total market cap,A股总市值 - A gu zong shi zhi,收盘价(前复权) - close price,开盘价-open,最高价-high,最低价-low,涨跌幅-up
2023-04-26,-1.0,-1.0,3.55,1.56,0.0,-1.0,442.15,442.15,29.53,28.94,30.09,28.82,1.62%
2023-04-25,-1.0,-1.0,3.48,1.53,0.0,-1.0,433.31,433.31,28.94,29.81,29.87,28.61,-2.89%
2023-04-24,-1.0,-1.0,3.58,1.57,0.0,-1.0,446.19,446.19,29.8,30.92,31.33,29.58,-3.62%
2023-04-21,-1.0,-1.0,3.72,1.63,0.0,-1.0,462.96,462.96,30.92,31.66,32.2,30.69,-2.86%
2023-04-20,-1.0,-1.0,3.83,1.68,0.0,-1.0,476.59,476.59,31.83,32.72,32.72,31.55,-2.96%
2023-04-19,-1.0,-1.0,3.94,1.73,0.0,-1.0,491.11,491.11,32.8,33.48,33.48,32.72,-2.41%
2023-04-18,-1.0,-1.0,4.04,1.77,0.0,-1.0,503.24,503.24,33.61,34.25,34.56,33.5,-0.18%
2023-04-17,-1.0,-1.0,4.05,1.78,0.0,-1.0,504.14,504.14,33.67,33.12,34.42,33.06,3.0%
2023-04-14,-1.0,-1.0,3.93,1.72,0.0,-1.0,489.46,489.46,32.69,31.95,33.0,31.95,2.44%
2023-04-13,-1.0,-1.0,3.84,1.68,0.0,-1.0,477.78,477.78,31.91,32.32,32.78,31.89,-2.15%
2023-04-12,-1.0,-1.0,3.92,1.72,0.0,-1.0,488.26,488.26,32.61,33.33,33.33,32.32,-2.19%
2023-04-11,-1.0,-1.0,4.01,1.76,0.0,-1.0,499.19,499.19,33.34,33.04,33.64,33.04,0.88%
2023-04-10,-1.0,-1.0,3.97,1.74,0.0,-1.0,494.85,494.85,33.05,34.19,34.2,33.05,-3.33%
2023-04-07,-1.0,-1.0,4.11,1.8,0.0,-1.0,511.92,511.92,34.19,33.97,34.41,33.69,0.44%
2023-04-06,-1.0,-1.0,4.09,1.8,0.0,-1.0,509.68,509.68,34.04,35.58,35.6,34.0,-4.33%
2023-04-04,-1.0,-1.0,4.28,1.88,0.0,-1.0,532.73,532.73,35.58,35.9,36.24,35.37,-1.52%
2023-04-03,-1.0,-1.0,4.34,1.91,0.0,-1.0,540.97,540.97,36.13,36.6,36.6,35.56,-4.54%
2023-03-31,-1.0,-1.0,4.55,2.0,0.0,-1.0,566.72,566.72,37.85,38.46,38.7,35.63,-1.61%
2023-03-30,-1.0,-1.0,4.63,2.03,0.0,-1.0,576.0,576.0,38.47,38.0,38.82,37.66,1.26%
2023-03-29,-1.0,-1.0,4.57,2.0,0.0,-1.0,568.82,568.82,37.99,38.8,39.25,37.81,-2.29%
2023-03-28,-1.0,-1.0,4.68,2.05,0.0,-1.0,582.14,582.14,38.88,39.55,39.88,38.88,-1.32%
2023-03-27,-1.0,-1.0,4.74,2.08,0.0,-1.0,589.93,589.93,39.4,39.9,40.4,39.02,-2.09%
2023-03-24,-1.0,-1.0,4.84,2.12,0.0,-1.0,602.51,602.51,40.24,40.6,41.0,39.91,0.1%
2023-03-23,-1.0,-1.0,4.83,2.12,0.0,-1.0,601.91,601.91,40.2,40.05,40.68,39.82,-0.77%
2023-03-22,-1.0,-1.0,4.87,2.14,0.0,-1.0,606.55,606.55,40.51,41.12,41.56,40.2,-1.94%
2023-03-21,-1.0,-1.0,4.97,2.18,0.0,-1.0,618.53,618.53,41.31,40.98,41.49,40.23,1.13%
2023-03-20,-1.0,-1.0,4.91,2.15,0.0,-1.0,611.64,611.64,40.85,39.5,41.18,39.01,2.87%
2023-03-17,-1.0,-1.0,4.78,2.09,0.0,-1.0,594.57,594.57,39.71,38.89,40.2,38.2,2.4%
2023-03-16,-1.0,-1.0,4.66,2.05,0.0,-1.0,580.64,580.64,38.78,38.6,40.56,38.41,-0.54%
2023-03-15,-1.0,-1.0,4.69,2.06,0.0,-1.0,583.79,583.79,38.99,38.6,39.16,38.11,0.49%
2023-03-14,-1.0,-1.0,4.67,2.05,0.0,-1.0,580.94,580.94,38.8,36.34,39.65,35.69,6.77%
2023-03-13,-1.0,-1.0,4.37,1.92,0.0,-1.0,544.11,544.11,36.34,36.21,36.49,35.8,-1.73%
2023-03-10,-1.0,-1.0,4.45,1.95,0.0,-1.0,553.69,553.69,36.98,37.97,38.23,36.7,-3.9%
2023-03-09,-1.0,-1.0,4.63,2.03,0.0,-1.0,576.15,576.15,38.48,38.22,39.49,38.22,1.75%
2023-03-08,-1.0,-1.0,4.55,1.99,0.0,-1.0,566.27,566.27,37.82,37.15,37.98,37.01,0.13%
2023-03-07,-1.0,-1.0,4.54,1.99,0.0,-1.0,565.52,565.52,37.77,38.27,38.91,37.74,-1.9%
2023-03-06,-1.0,-1.0,4.63,2.03,0.0,-1.0,576.45,576.45,38.5,38.49,38.77,37.6,-0.03%
2023-03-03,-1.0,-1.0,4.63,2.03,0.0,-1.0,576.6,576.6,38.51,38.28,38.86,38.17,0.0%
2023-03-02,-1.0,-1.0,4.63,2.03,0.0,-1.0,576.6,576.6,38.51,38.91,39.28,38.23,-1.26%
2023-03-01,-1.0,-1.0,4.69,2.06,0.0,-1.0,583.94,583.94,39.0,37.57,39.21,37.23,3.59%
2023-02-28,-1.0,-1.0,4.53,1.99,0.0,-1.0,563.73,563.73,37.65,37.3,37.72,36.91,0.88%
2023-02-27,-1.0,-1.0,4.49,1.97,0.0,-1.0,558.78,558.78,37.32,37.9,38.1,36.96,0.78%
2023-02-24,-1.0,-1.0,4.45,1.95,0.0,-1.0,554.44,554.44,37.03,37.0,37.43,36.66,-0.99%
2023-02-23,-1.0,-1.0,4.5,1.97,0.0,-1.0,559.98,559.98,37.4,37.65,38.46,37.27,-0.8%
2023-02-22,-1.0,-1.0,4.53,1.99,0.0,-1.0,564.47,564.47,37.7,37.14,38.09,36.71,0.78%
2023-02-21,-1.0,-1.0,4.5,1.97,0.0,-1.0,560.13,560.13,37.41,36.56,37.99,36.55,2.38%
2023-02-20,-1.0,-1.0,4.39,1.93,0.0,-1.0,547.11,547.11,36.54,36.0,36.57,35.36,2.01%
2023-02-17,-1.0,-1.0,4.31,1.89,0.0,-1.0,536.33,536.33,35.82,37.24,37.38,35.79,-4.61%
2023-02-16,-1.0,-1.0,4.52,1.98,0.0,-1.0,562.23,562.23,37.55,39.03,39.09,37.23,-3.79%
2023-02-15,-1.0,-1.0,4.69,2.06,0.0,-1.0,584.39,584.39,39.03,39.3,40.13,38.87,-0.99%
