日期 - date,滚动市盈率 - pe_ttm,滚动扣非市盈率 - koufei_pe_ttm,滚动市净率 - pb_ttm,动态市销率 - ps_ttm,动态股息收益率 % - dividend_yield,ROE %,总市值 - total market cap,A股总市值 - A gu zong shi zhi,收盘价(前复权) - close price,开盘价-open,最高价-high,最低价-low,涨跌幅-up
2023-04-13,71.75,81.51,2.79,5.7,0.27,3.93,220.03,220.03,22.07,22.26,22.33,22.0,-0.81%
2023-04-12,72.34,82.18,2.81,5.75,0.27,3.93,221.83,221.83,22.25,22.22,22.34,22.03,0.14%
2023-04-11,72.24,82.07,2.81,5.74,0.27,3.93,221.53,221.53,22.22,22.42,22.45,22.1,-1.33%
2023-04-10,73.21,83.18,2.85,5.82,0.27,3.93,224.52,224.52,22.52,22.98,23.02,22.41,-0.84%
2023-04-07,73.83,83.88,2.87,5.87,0.27,3.93,226.42,226.42,22.71,23.19,23.19,22.6,-1.9%
2023-04-06,75.26,85.5,2.93,5.98,0.26,3.93,230.8,230.8,23.15,23.28,23.5,22.95,0.04%
2023-04-04,75.23,85.47,2.93,5.98,0.26,3.93,230.7,230.7,23.14,23.26,23.47,22.91,-0.73%
2023-04-03,75.78,86.09,2.95,6.02,0.26,3.93,232.4,232.4,23.31,22.58,23.45,22.53,2.78%
2023-03-31,73.73,83.77,2.87,5.86,0.27,3.93,226.12,226.12,22.68,22.4,22.79,22.36,0.35%
2023-03-30,73.47,83.47,2.86,5.84,0.27,3.93,225.32,225.32,22.6,22.75,22.99,22.28,0.09%
2023-03-29,97.35,146.59,2.9,6.7,0.27,3.2,225.12,225.12,22.58,23.77,23.82,22.01,-5.09%
2023-03-28,102.56,154.44,3.05,7.06,0.25,3.2,237.18,237.18,23.79,23.91,24.38,23.57,-0.25%
2023-03-27,102.82,154.83,3.06,7.07,0.25,3.2,237.78,237.78,23.85,24.39,24.51,23.81,-2.69%
2023-03-24,105.67,159.11,3.15,7.27,0.25,3.2,244.36,244.36,24.51,24.3,24.9,24.15,0.62%
2023-03-23,105.02,158.14,3.13,7.23,0.25,3.2,242.87,242.87,24.36,24.06,24.42,23.95,0.5%
2023-03-22,104.5,157.36,3.11,7.19,0.25,3.2,241.67,241.67,24.24,23.99,24.39,23.7,1.17%
2023-03-21,103.3,155.54,3.07,7.11,0.25,3.2,238.88,238.88,23.96,23.97,24.48,23.7,1.7%
2023-03-20,101.57,152.95,3.02,6.99,0.26,3.2,234.89,234.89,23.56,22.89,23.8,22.74,2.75%
2023-03-17,98.86,148.86,2.94,6.8,0.26,3.2,228.61,228.61,22.93,22.23,23.2,22.13,3.62%
2023-03-16,95.41,143.66,2.84,6.56,0.27,3.2,220.63,220.63,22.13,22.72,22.88,21.88,-3.57%
2023-03-15,98.94,148.99,2.95,6.81,0.26,3.2,228.81,228.81,22.95,23.36,23.6,22.83,-1.38%
2023-03-14,100.32,151.06,2.99,6.9,0.26,3.2,232.0,232.0,23.27,23.23,23.78,22.66,-0.34%
2023-03-13,100.67,151.58,3.0,6.93,0.26,3.2,232.8,232.8,23.35,22.94,23.79,22.91,1.48%
2023-03-10,99.2,149.38,2.95,6.83,0.26,3.2,229.41,229.41,23.01,23.0,23.8,22.95,-0.65%
2023-03-09,99.85,150.35,2.97,6.87,0.26,3.2,230.9,230.9,23.16,23.61,23.66,23.07,-1.4%
2023-03-08,101.27,152.49,3.01,6.97,0.26,3.2,234.19,234.19,23.49,22.98,23.95,22.91,1.78%
2023-03-07,99.5,149.83,2.96,6.85,0.26,3.2,230.1,230.1,23.08,24.13,24.16,23.07,-5.06%
2023-03-06,104.81,157.82,3.12,7.21,0.25,3.2,242.37,242.37,24.31,24.52,24.7,24.0,-0.73%
2023-03-03,105.58,158.98,3.14,7.26,0.25,3.2,244.16,244.16,24.49,23.19,24.5,23.11,5.56%
2023-03-02,100.02,150.61,2.98,6.88,0.26,3.2,231.3,231.3,23.2,23.61,23.9,23.18,-2.19%
2023-03-01,102.26,153.99,3.04,7.04,0.25,3.2,236.48,236.48,23.72,23.85,23.85,23.46,-0.75%
2023-02-28,103.04,155.15,3.07,7.09,0.25,3.2,238.28,238.28,23.9,23.5,23.9,23.24,0.67%
2023-02-27,102.35,154.12,3.05,7.04,0.25,3.2,236.68,236.68,23.74,23.9,24.39,23.62,-0.54%
2023-02-24,102.91,154.96,3.06,7.08,0.25,3.2,237.98,237.98,23.87,23.35,24.1,23.3,1.92%
2023-02-23,100.97,152.04,3.01,6.95,0.26,3.2,233.49,233.49,23.42,23.3,23.88,23.2,0.21%
2023-02-22,100.75,151.71,3.0,6.93,0.26,3.2,233.0,233.0,23.37,23.21,23.97,23.12,-0.04%
2023-02-21,100.8,151.78,3.0,6.94,0.26,3.2,233.1,233.1,23.38,22.99,23.65,22.94,2.01%
2023-02-20,98.81,148.79,2.94,6.8,0.26,3.2,228.51,228.51,22.92,22.82,22.99,22.33,-0.26%
2023-02-17,99.07,149.18,2.95,6.82,0.26,3.2,229.11,229.11,22.98,22.81,23.37,22.5,0.7%
2023-02-16,98.38,148.14,2.93,6.77,0.26,3.2,227.51,227.51,22.82,23.42,23.49,22.56,-2.93%
2023-02-15,101.36,152.62,3.02,6.97,0.26,3.2,234.39,234.39,23.51,23.51,23.65,22.97,0.04%
2023-02-14,101.31,152.56,3.02,6.97,0.26,3.2,234.29,234.29,23.5,23.72,23.87,23.39,-1.43%
2023-02-13,102.78,154.77,3.06,7.07,0.25,3.2,237.68,237.68,23.84,24.09,24.53,23.72,0.08%
2023-02-10,102.69,154.64,3.06,7.07,0.25,3.2,237.48,237.48,23.82,24.02,24.17,23.41,-0.92%
2023-02-09,103.64,156.06,3.09,7.13,0.25,3.2,239.68,239.68,24.04,23.07,24.11,23.03,3.35%
2023-02-08,100.28,151.0,2.98,6.9,0.26,3.2,231.9,231.9,23.26,23.84,23.88,23.15,-2.1%
