日期 - date,滚动市盈率 - pe_ttm,滚动扣非市盈率 - koufei_pe_ttm,滚动市净率 - pb_ttm,动态市销率 - ps_ttm,动态股息收益率 % - dividend_yield,ROE %,总市值 - total market cap,A股总市值 - A gu zong shi zhi,收盘价(前复权) - close price,开盘价-open,最高价-high,最低价-low,涨跌幅-up
2023-05-16,38.7,41.3,6.68,1.62,0.04,18.87,7718.31,4807.19,265.13,264.39,267.42,263.2,0.09%
2023-05-15,38.67,41.26,6.67,1.62,0.04,18.87,7711.62,4803.02,264.9,260.1,266.55,258.7,1.85%
2023-05-12,37.97,40.52,6.55,1.59,0.04,18.87,7571.88,4715.98,260.1,266.0,268.25,259.52,-1.38%
2023-05-11,38.5,41.08,6.64,1.61,0.04,18.87,7678.14,4782.16,263.75,260.77,269.8,258.68,1.52%
2023-05-10,37.92,40.47,6.54,1.58,0.04,18.87,7562.86,4710.36,259.79,251.0,262.18,249.2,3.87%
2023-05-09,36.51,38.96,6.3,1.53,0.04,18.87,7281.06,4534.85,250.11,250.04,253.36,249.0,-1.54%
2023-05-08,37.08,39.57,6.4,1.55,0.04,18.87,7395.18,4605.93,254.03,253.0,259.1,252.52,1.58%
2023-05-05,36.5,38.95,6.3,1.52,0.04,18.87,7279.89,4534.13,250.07,252.55,253.8,247.95,-0.97%
2023-05-04,36.86,39.33,6.36,1.54,0.04,18.87,7351.22,4578.55,252.52,255.0,257.61,251.4,-1.31%
2023-04-28,37.35,39.85,6.44,1.56,0.04,18.87,7448.45,4639.11,255.86,261.47,262.97,254.0,-1.18%
2023-04-27,45.35,48.2,6.79,1.78,0.04,16.13,7537.53,4694.59,258.92,250.0,258.99,249.55,3.16%
2023-04-26,43.96,46.73,6.58,1.72,0.04,16.13,7306.97,4550.99,251.0,243.0,254.54,241.0,2.74%
2023-04-25,42.79,45.48,6.41,1.68,0.04,16.13,7111.92,4429.51,244.3,251.0,251.8,242.2,-3.63%
2023-04-24,44.39,47.19,6.65,1.74,0.04,16.13,7379.46,4596.14,253.49,244.1,258.6,243.18,4.32%
2023-04-21,42.56,45.24,6.37,1.67,0.04,16.13,7074.08,4405.94,243.0,244.5,248.95,243.0,-0.82%
2023-04-20,42.91,45.61,6.42,1.68,0.04,16.13,7132.88,4442.56,245.02,249.93,249.93,245.0,-2.32%
2023-04-19,43.93,46.7,6.58,1.72,0.04,16.13,7302.6,4548.27,250.85,249.0,253.2,246.09,0.74%
2023-04-18,43.61,46.35,6.53,1.71,0.04,16.13,7248.75,4514.73,249.0,250.4,252.18,248.44,-0.18%
2023-04-17,43.69,46.44,6.54,1.71,0.04,16.13,7261.55,4522.7,249.44,245.0,249.68,244.21,1.37%
2023-04-14,43.09,45.81,6.45,1.69,0.04,16.13,7163.16,4461.42,246.06,243.4,247.47,242.99,1.33%
2023-04-13,42.53,45.2,6.37,1.67,0.04,16.13,7068.84,4402.67,242.82,240.58,243.0,237.77,-0.24%
2023-04-12,42.63,45.31,6.38,1.67,0.04,16.13,7085.72,4413.19,243.4,248.8,248.8,243.33,-2.57%
2023-04-11,43.75,46.51,6.55,1.72,0.04,16.13,7272.91,4529.77,249.83,252.15,254.49,248.6,-0.47%
2023-04-10,43.96,46.73,6.58,1.72,0.04,16.13,7306.97,4550.99,251.0,249.28,251.2,246.0,0.69%
2023-04-07,43.66,46.41,6.54,1.71,0.04,16.13,7256.9,4519.8,249.28,250.05,252.13,248.33,-0.29%
2023-04-06,43.78,46.54,6.55,1.72,0.04,16.13,7277.86,4532.86,250.0,248.0,250.88,245.68,-0.37%
2023-04-04,43.94,46.71,6.58,1.72,0.04,16.13,7304.64,4549.54,250.92,255.81,255.81,247.99,-1.95%
2023-04-03,44.82,47.64,6.71,1.76,0.04,16.13,7450.2,4640.2,255.92,256.0,258.24,252.26,-0.04%
2023-03-31,44.84,47.66,6.71,1.76,0.04,16.13,7453.11,4642.01,256.02,258.97,260.86,255.0,-0.46%
2023-03-30,45.04,47.88,6.74,1.77,0.04,16.13,7487.46,4663.4,257.2,250.0,257.2,250.0,3.84%
2023-03-29,43.38,46.11,6.49,1.7,0.04,16.13,7210.9,4491.15,247.7,246.55,250.25,246.55,1.1%
2023-03-28,71.95,81.68,6.96,2.11,0.04,10.72,7132.59,4442.38,245.01,244.5,245.67,242.4,0.56%
2023-03-27,71.55,81.22,6.92,2.09,0.04,10.72,7093.0,4417.72,243.65,245.99,245.99,240.3,-0.96%
2023-03-24,72.24,82.01,6.99,2.11,0.04,10.72,7161.99,4460.69,246.02,245.5,247.63,243.49,0.22%
2023-03-23,72.09,81.84,6.97,2.11,0.04,10.72,7146.56,4451.08,245.49,242.99,245.5,239.5,0.94%
