日期 - date,滚动市盈率 - pe_ttm,滚动扣非市盈率 - koufei_pe_ttm,滚动市净率 - pb_ttm,动态市销率 - ps_ttm,动态股息收益率 % - dividend_yield,ROE %,总市值 - total market cap,A股总市值 - A gu zong shi zhi,收盘价(前复权) - close price,开盘价-open,最高价-high,最低价-low,涨跌幅-up
2023-04-26,25.27,28.59,5.25,2.68,0.79,28.6,9869.68,9869.68,224.5,213.0,227.95,210.01,5.4%
2023-04-25,24.13,27.3,5.02,2.55,0.17,28.6,9425.16,9425.16,385.9,398.0,398.0,380.0,-2.77%
2023-04-24,24.82,28.08,5.16,2.63,0.16,28.6,9693.34,9693.34,396.88,405.1,406.0,392.88,-2.0%
2023-04-21,25.32,28.65,5.26,2.68,0.16,28.6,9891.41,9891.41,404.99,404.5,414.92,399.0,2.27%
2023-04-20,31.47,34.28,5.88,2.94,0.16,24.68,9671.84,9671.84,396.0,410.3,410.3,396.0,-3.5%
2023-04-19,32.62,35.53,6.09,3.05,0.16,24.68,10022.82,10022.82,410.37,414.5,414.84,406.0,0.33%
2023-04-18,32.51,35.41,6.07,3.04,0.16,24.68,9989.35,9989.35,409.0,407.89,418.0,407.29,0.27%
2023-04-17,32.42,35.31,6.06,3.03,0.16,24.68,9962.0,9962.0,407.88,396.33,410.0,395.8,2.67%
2023-04-14,31.58,34.39,5.9,2.95,0.16,24.68,9703.87,9703.87,397.29,387.9,402.37,387.5,2.33%
2023-04-13,30.86,33.61,5.77,2.89,0.17,24.68,9483.31,9483.31,388.26,390.0,391.36,385.0,-0.96%
2023-04-12,31.16,33.94,5.82,2.91,0.17,24.68,9574.9,9574.9,392.01,400.0,400.0,392.0,-1.99%
2023-04-11,31.79,34.63,5.94,2.97,0.16,24.68,9768.84,9768.84,399.95,400.01,409.87,398.0,-0.51%
2023-04-10,31.95,34.8,5.97,2.99,0.16,24.68,9819.15,9819.15,402.01,393.89,402.11,388.0,2.94%
2023-04-07,31.04,33.81,5.8,2.9,0.17,24.68,9538.26,9538.26,390.51,386.15,394.0,384.36,0.64%
2023-04-06,30.84,33.59,5.76,2.88,0.17,24.68,9477.44,9477.44,388.02,384.0,389.55,380.15,0.01%
2023-04-04,30.84,33.59,5.76,2.88,0.17,24.68,9476.96,9476.96,388.0,399.99,399.99,381.81,-2.69%
2023-04-03,31.69,34.52,5.92,2.96,0.16,24.68,9738.55,9738.55,398.71,406.11,406.8,396.0,-1.81%
2023-03-31,32.27,35.15,6.03,3.02,0.16,24.68,9917.83,9917.83,406.05,404.5,414.98,404.5,1.48%
2023-03-30,31.8,34.64,5.94,2.97,0.16,24.68,9772.74,9772.74,400.11,400.99,402.0,397.35,-0.02%
2023-03-29,31.81,34.65,5.94,2.97,0.16,24.68,9774.45,9774.45,400.18,395.21,404.28,393.03,1.93%
2023-03-28,31.21,33.99,5.83,2.92,0.17,24.68,9589.31,9589.31,392.6,394.0,396.18,390.2,-0.98%
2023-03-27,31.52,34.33,5.89,2.95,0.16,24.68,9684.57,9684.57,396.5,391.11,398.6,384.42,0.74%
2023-03-24,31.28,34.07,5.84,2.93,0.17,24.68,9613.25,9613.25,393.58,398.4,402.26,390.0,-1.2%
2023-03-23,31.67,34.49,5.92,2.96,0.16,24.68,9730.49,9730.49,398.38,398.0,401.92,394.43,-0.21%
2023-03-22,31.73,34.56,5.93,2.97,0.16,24.68,9750.52,9750.52,399.2,398.74,408.66,397.02,1.38%
2023-03-21,31.3,34.09,5.85,2.93,0.17,24.68,9618.13,9618.13,393.78,382.2,394.18,378.7,3.64%
2023-03-20,30.2,32.89,5.64,2.82,0.17,24.68,9280.33,9280.33,379.95,374.54,384.6,368.0,1.06%
2023-03-17,29.88,32.55,5.58,2.79,0.17,24.68,9183.37,9183.37,375.98,389.0,389.99,375.5,-2.37%
2023-03-16,30.61,33.34,5.72,2.86,0.17,24.68,9406.37,9406.37,385.11,384.0,389.91,383.5,-0.74%
2023-03-15,30.84,33.59,5.76,2.88,0.17,24.68,9476.96,9476.96,388.0,393.0,395.74,383.62,0.2%
2023-03-14,30.78,33.52,5.75,2.88,0.17,24.68,9458.15,9458.15,387.23,390.88,391.0,378.0,-1.22%
2023-03-13,31.16,33.94,5.82,2.91,0.17,24.68,9574.66,9574.66,392.0,403.03,406.66,390.0,-3.4%
2023-03-10,32.25,35.13,6.03,3.02,0.16,24.68,9911.48,9911.48,405.79,401.69,409.93,395.9,2.21%
2023-03-09,37.63,42.39,6.48,3.63,0.16,23.18,9697.03,9697.03,397.01,396.2,401.28,388.24,-0.18%
2023-03-08,37.69,42.46,6.49,3.63,0.16,23.18,9714.61,9714.61,397.73,400.01,402.93,395.11,-1.11%
2023-03-07,38.12,42.94,6.56,3.67,0.16,23.18,9823.79,9823.79,402.2,404.0,408.99,401.83,-1.52%
2023-03-06,38.71,43.61,6.66,3.73,0.16,23.18,9975.72,9975.72,408.42,402.17,408.87,392.01,1.52%
2023-03-03,38.13,42.95,6.56,3.68,0.16,23.18,9826.72,9826.72,402.32,402.3,405.71,400.0,0.38%
2023-03-02,37.99,42.79,6.54,3.66,0.16,23.18,9789.6,9789.6,400.8,409.5,411.0,396.2,-2.67%
2023-03-01,39.03,43.96,6.72,3.76,0.16,23.18,10057.79,10057.79,411.78,403.1,414.18,403.03,1.95%
2023-02-28,38.28,43.12,6.59,3.69,0.16,23.18,9865.32,9865.32,403.9,403.99,408.3,401.5,0.7%
2023-02-27,38.01,42.82,6.54,3.66,0.16,23.18,9796.93,9796.93,401.1,402.73,405.48,400.1,-1.06%
2023-02-24,38.42,43.28,6.61,3.7,0.16,23.18,9901.95,9901.95,405.4,411.0,411.8,404.02,-1.89%
2023-02-23,39.16,44.12,6.74,3.78,0.16,23.18,10093.2,10093.2,413.23,410.0,415.13,407.4,0.92%
2023-02-22,38.81,43.72,6.68,3.74,0.16,23.18,10001.36,10001.36,409.47,409.0,414.1,406.67,-1.33%
2023-02-21,39.33,44.31,6.77,3.79,0.16,23.18,10136.68,10136.68,415.01,417.48,422.49,412.0,-1.3%
2023-02-20,39.85,44.89,6.86,3.84,0.16,23.18,10270.04,10270.04,420.47,416.0,421.88,406.33,0.07%
2023-02-17,39.82,44.86,6.86,3.84,0.16,23.18,10263.2,10263.2,420.19,442.0,442.0,420.0,-5.19%
2023-02-16,42.0,47.32,7.23,4.05,0.15,23.18,10825.22,10825.22,443.2,451.99,454.5,438.0,-1.2%
2023-02-15,42.52,47.9,7.32,4.1,0.15,23.18,10957.12,10957.12,448.6,453.1,457.0,448.0,-0.54%
2023-02-14,42.75,48.16,7.36,4.12,0.14,23.18,11016.96,11016.96,451.05,469.0,469.3,445.79,-1.95%
2023-02-13,43.6,49.11,7.5,4.2,0.14,23.18,11235.57,11235.57,460.0,450.98,461.57,447.01,3.15%
2023-02-10,42.26,47.61,7.28,4.07,0.15,23.18,10892.39,10892.39,445.95,453.0,455.68,445.01,-1.55%
2023-02-09,42.93,48.36,7.39,4.14,0.14,23.18,11064.35,11064.35,452.99,447.21,455.99,441.5,1.29%
2023-02-08,42.38,47.75,7.3,4.09,0.15,23.18,10923.17,10923.17,447.21,449.6,453.45,445.0,-0.2%
2023-02-07,42.47,47.84,7.31,4.09,0.15,23.18,10944.91,10944.91,448.1,450.49,453.8,444.66,-0.55%
2023-02-06,42.71,48.11,7.35,4.12,0.14,23.18,11005.97,11005.97,450.6,452.0,453.52,441.09,-1.23%
2023-02-03,43.24,48.71,7.44,4.17,0.14,23.18,11142.75,11142.75,456.2,464.0,466.2,451.38,-2.12%
2023-02-02,44.17,49.76,7.6,4.26,0.14,23.18,11384.56,11384.56,466.1,478.87,479.7,464.88,-2.24%
2023-02-01,45.19,50.91,7.78,4.36,0.14,23.18,11645.91,11645.91,476.8,470.99,479.36,470.48,2.49%
2023-01-31,44.09,49.67,7.59,4.25,0.14,23.18,11362.58,11362.58,465.2,469.88,477.5,462.44,-1.16%
2023-01-30,44.61,50.25,7.68,4.3,0.14,23.18,11495.69,11495.69,470.65,479.37,490.56,467.47,4.13%
2023-01-20,42.84,48.26,7.37,4.13,0.14,23.18,11040.17,11040.17,452.0,446.77,452.2,444.26,1.17%
2023-01-19,42.34,47.7,7.29,4.08,0.15,23.18,10912.42,10912.42,446.77,445.33,451.5,442.19,-0.39%
2023-01-18,42.51,47.88,7.32,4.1,0.15,23.18,10954.68,10954.68,448.5,448.51,450.88,443.11,0.65%
2023-01-17,42.23,47.58,7.27,4.07,0.15,23.18,10884.09,10884.09,445.61,446.93,451.87,443.61,-0.23%
2023-01-16,42.33,47.69,7.29,4.08,0.15,23.18,10909.0,10909.0,446.63,438.5,449.5,435.11,1.62%
2023-01-13,41.65,46.92,7.17,4.02,0.15,23.18,10734.85,10734.85,439.5,444.0,452.52,430.0,1.38%
2023-01-12,41.08,46.28,7.07,3.96,0.15,23.18,10588.3,10588.3,433.5,432.0,438.78,429.68,1.32%
2023-01-11,40.55,45.68,6.98,3.91,0.15,23.18,10450.54,10450.54,427.86,430.5,436.0,424.0,-0.96%
2023-01-10,40.94,46.12,7.05,3.95,0.15,23.18,10551.66,10551.66,432.0,417.66,435.0,413.3,3.7%
2023-01-09,39.48,44.48,6.8,3.81,0.16,23.18,10175.52,10175.52,416.6,422.88,422.88,414.0,-0.01%
2023-01-06,39.49,44.49,6.8,3.81,0.16,23.18,10176.98,10176.98,416.66,406.0,424.98,404.06,2.25%
2023-01-05,38.62,43.51,6.65,3.72,0.16,23.18,9953.49,9953.49,407.51,388.0,410.17,385.01,6.12%
2023-01-04,36.39,41.0,6.26,3.51,0.17,23.18,9379.5,9379.5,384.01,386.5,387.0,382.05,-1.44%
2023-01-03,36.93,41.6,6.36,3.56,0.17,23.18,9517.01,9517.01,389.64,392.0,392.57,381.72,-0.96%
2022-12-30,37.29,42.0,6.42,3.59,0.17,23.18,9609.34,9609.34,393.42,398.5,402.0,393.0,-0.14%
2022-12-29,37.34,42.06,6.43,3.6,0.17,23.18,9622.53,9622.53,393.96,391.0,397.8,390.4,-0.01%
2022-12-28,37.34,42.07,6.43,3.6,0.17,23.18,9623.51,9623.51,394.0,398.06,398.3,380.28,-2.37%
2022-12-27,38.25,43.09,6.58,3.69,0.16,23.18,9857.26,9857.26,403.57,402.23,405.99,396.66,-0.09%
2022-12-26,38.28,43.13,6.59,3.69,0.16,23.18,9865.8,9865.8,403.92,398.48,407.25,391.1,1.37%
2022-12-23,37.77,42.54,6.5,3.64,0.16,23.18,9732.93,9732.93,398.48,396.9,402.83,394.1,-0.88%
2022-12-22,38.1,42.92,6.56,3.67,0.16,23.18,9818.91,9818.91,402.0,410.99,410.99,400.0,-1.18%
2022-12-21,38.56,43.43,6.64,3.72,0.16,23.18,9936.64,9936.64,406.82,410.0,412.47,404.51,-0.66%
2022-12-20,38.81,43.72,6.68,3.74,0.16,23.18,10002.59,10002.59,409.52,420.0,420.6,409.0,-2.59%
2022-12-19,39.84,44.88,6.86,3.84,0.16,23.18,10268.33,10268.33,420.4,419.0,430.1,418.06,0.57%
2022-12-16,39.62,44.63,6.82,3.82,0.16,23.18,10209.95,10209.95,418.01,418.51,422.8,413.88,-1.37%
